"Age(months)","Gender","Dominant Hand","Dominant","non-dominant","Dominant","Non-dominant"
"117","male","right",0.02208481,0.01351534,0.35335689,0.21624544
"101","male","right",0.01607459,0.02146844,0.25719338,0.34349506
"135","male","right",0.03353454,0.03108486,0.53655265,0.49735779
"119","male","right",0.02773156,0.03100775,0.44370494,0.49612403
"124","female","right",0.03017502,0.02425418,0.48280024,0.38806694
"127","female","left",0.03274394,0.02635741,0.52390308,0.4217185
"101","male","left",0.02844141,0.02380386,0.45506257,0.3808617
"131","male","left",0.02463661,0.02520161,0.39418576,0.40322581
"119","female","left",0.0282167,0.0204876,0.45146727,0.32780168
"105","male","right",0.03293808,0.01693193,0.52700922,0.27091094
"138","male","right",0.03528582,0.02594707,0.56457304,0.41515309
"137","male","right",0.04079967,0.01861158,0.65279478,0.29778522
"96","male","left",0.02629503,0.02108815,0.42072048,0.33741038
"126","male","left",0.02001201,0.0145624,0.32019212,0.2329984
"126","female","right",0.02148228,0.01507613,0.34371643,0.24121815
"114","male","left",0.02675227,0.03824092,0.42803638,0.61185468
"120","male","left",0.03477051,0.03254149,0.55632823,0.52066385
"110","male","left",0.02906977,0.02567394,0.46511628,0.41078306
"117","male","left",0.02930832,0.02543235,0.46893318,0.4069176
"125","female","right",0.04065041,0.02892682,0.6504065,0.46282904
"133","female","left",0.02996704,0.02692515,0.47947258,0.43080237
"118","female","right",0.03139717,0.02431315,0.50235479,0.38901045
"136","male","left",0.04003203,0.0385505,0.64051241,0.61680802
"102","female","right",0.03098853,0.01537752,0.49581655,0.24604029
"116","male","left",0.01954652,0.01327845,0.31274433,0.21245519
"112","male","left",0.02748008,0.02212879,0.43968123,0.35406063
"100","female","left",0.03122073,0.027571,0.49953169,0.44113593
"100","female","left",0.01735207,0.01997204,0.27763318,0.31955263
"132","female","left",0.02391772,0.02358491,0.38268357,0.37735849
"96","female","left",0.02667378,0.01500375,0.42678047,0.24006002
"108","female","right",0.02527806,0.02321802,0.40444894,0.37148827
"96","female","right",0.03546099,0.03014772,0.56737589,0.48236358
"96","male","right",0.01763668,0.01768972,0.28218695,0.28303556
"137","female","left",0.03121099,0.03098853,0.49937578,0.49581655
"114","male","left",0.0244918,0.03590664,0.39186872,0.57450628
"114","male","right",0.02577984,0.02253775,0.41247744,0.36060401
"96","female","right",0.01886792,0.01533272,0.30188679,0.24532352
"104","female","right",0.02136296,0.0234852,0.34180731,0.37576327
"94","female","right",0.01689475,0.0194439,0.27031593,0.31110247
"90","female","left",0.02444988,0.02278943,0.39119804,0.36463081
"108","male","right",0.02977077,0.02881844,0.47633224,0.4610951
"119","male","right",0.02631579,0.02467308,0.42105263,0.39476931
"97","female","right",0.03114295,0.02899391,0.49828714,0.46390258
"122","female","left",0.04378284,0.03929273,0.70052539,0.62868369
"110","female","right",0.03792188,0.02588662,0.60675009,0.41418587
"117","female","left",0.03463803,0.02749519,0.55420852,0.43992301
"105","female","right",0.03812429,0.0203749,0.60998856,0.32599837
"137","male","right",0.04312204,0.03528582,0.68995257,0.56457304
"139","male","right",0.0205846,0.01982947,0.32935364,0.31727147
"114","male","right",0.02528445,0.02973536,0.4045512,0.47576569
"101","female","left",0.02208968,0.03529827,0.35343495,0.56477233
"118","female","right",0.03463803,0.03850597,0.55420852,0.61609549
"105","female","right",0.03760812,0.02930832,0.60172997,0.46893318
"136","female","right",0.03345601,0.03012956,0.53529609,0.48207291
"117","male","left",0.02665956,0.02680965,0.42655292,0.42895442
"99","male","left",0.02146383,0.03010235,0.34342134,0.48163757
"137","male","left",0.02552974,0.02581311,0.40847587,0.41300981
"138","female","left",0.03351206,0.0191168,0.53619303,0.30586886
"111","female","left",0.03209243,0.03903201,0.51347882,0.6245121
"96","male","right",0.04,0.03703704,0.64,0.59259259
"144","male","right",0.04,0.03703704,0.64,0.59259259
"216","female","right",0.0625,0.04347826,1,0.69565217
"144","male","right",0.04166667,0.04166667,0.66666667,0.66666667
"132","female","right",0.0373413,0.025,0.59746079,0.4
"132","female","right",0.04859086,0.03602305,0.77745384,0.57636888
"96","female","right",0.03501401,0.02461841,0.56022409,0.39389463
"72","female","right",0.03225806,0.02439024,0.51612903,0.3902439
"84","female","right",0.02857143,0.02222222,0.45714286,0.35555556
"NA","female","right",0.02702703,0.03225806,0.43243243,0.51612903
"NA","female","right",0.04378284,0.04349717,0.70052539,0.69595476
"NA","female","right",0.03736921,0.02763194,0.59790732,0.44211108
"NA","male","right",0.03415301,0.03381806,0.54644809,0.54108894
"NA","male","right",0.03332223,0.03832886,0.53315561,0.61326179
"NA","female","right",0.02405581,0.03853565,0.38489295,0.61657033
"NA","male","right",0.01754386,0.04166667,0.28070175,0.66666667
"NA","female","right",0.04938272,0.03611412,0.79012346,0.57782593
"NA","female","right",0.04178855,0.03554924,0.6686168,0.56878777
"NA","male","right",0.0376506,0.03263708,0.60240964,0.52219321
"NA","male","right",0.02777778,0.025,0.44444444,0.4
"NA","female","right",0.05497526,0.04539265,0.87960418,0.72628234
"NA","female","right",0.0447828,0.04192872,0.71652485,0.67085954
"NA","female","right",0.04557885,0.03061849,0.72926162,0.4898959
"NA","female","right",0.03502627,0.02653928,0.56042032,0.42462845
"NA","female","right",0.03124024,0.03762227,0.4998438,0.60195636
"NA","female","right",0.0230787,0.0427716,0.36925917,0.68434559
"NA","female","right",0.04378284,0.02255809,0.70052539,0.36092939
"NA","female","right",0.04789272,0.02801905,0.76628352,0.44830485
"NA","female","right",0.02631579,0.03125,0.42105263,0.5
"NA","male","right",0.03328895,0.03120125,0.53262317,0.49921997
"NA","male","right",0.03445899,0.03763643,0.5513439,0.60218291
"NA","female","right",0.02857143,0.02772387,0.45714286,0.44358192
"NA","female","right",0.04163197,0.03703704,0.66611157,0.59259259
"NA","male","right",0.03125,0.02560819,0.5,0.40973111
