"Player","Position","Team","Receptions","Yards","Avgyds","Longest","TDs","YDS/G","TAR","20+","FUM","YAC","1DN"
"Denard Robinson","RB","JAX",21,164,7.8,16,0,12.6,30,0,0,156,8
"Jaelen Strong","WR","HOU",14,161,11.5,42,3,16.1,24,2,0,30,9
"Nick Williams","WR","ATL",17,159,9.4,29,2,11.4,25,2,0,104,11
"Mike Tolbert","FB","CAR",18,154,8.6,40,3,9.6,22,1,0,133,8
"Bruce Ellington","WR","SF",13,153,11.8,44,0,11.8,19,3,1,93,4
"Justin Forsett","RB","BAL",31,153,4.9,32,0,15.3,41,1,0,141,4
"Nick Boyle","TE","BAL",18,153,8.5,25,0,13.9,22,1,0,95,10
"Jeremy Kerley","WR","NYJ",16,152,9.5,25,2,9.5,26,2,0,97,8
"Chris Gragg","TE","BUF",12,150,12.5,29,0,11.5,20,1,0,52,8
"Clay Harbor","TE","JAX",14,149,10.6,26,1,9.9,19,2,0,51,9
"Andre Ellington","RB","ARI",15,148,9.9,32,0,14.8,24,1,0,77,8
"Travaris Cadet","RB","NE/NO/SF",9,146,16.2,44,1,73,11,2,0,42,6
"Ryan Mathews","RB","PHI",20,146,7.3,23,1,11.2,28,2,0,151,5
"Adam Thielen","WR","MIN",12,144,12,30,0,9,18,1,0,44,5
"Jaron Brown","WR","ARI",11,144,13.1,39,1,9,23,3,0,27,8
"Damien Williams","RB","MIA",21,142,6.8,23,1,8.9,27,2,0,82,6
"Aaron Dobson","WR","NE",13,141,10.8,24,0,17.6,21,1,0,38,9
"Derek Carrier","TE","WSH",17,141,8.3,20,1,11.8,22,2,0,81,4
"De'Anthony Thomas","WR","KC",17,140,8.2,36,1,14,24,2,0,154,6
"Bishop Sankey","RB","TEN",14,139,9.9,30,1,10.7,22,2,0,149,8
"Ty Montgomery","WR","GB",15,136,9.1,31,2,22.7,18,1,0,95,6
"Le'Veon Bell","RB","PIT",24,136,5.7,20,0,22.7,26,2,0,139,4
"Bruce Miller","FB","SF",10,135,13.5,52,0,8.4,14,2,0,99,5
"Andre Roberts","WR","WSH",11,135,12.3,38,0,15,21,1,0,40,5
"TJ Jones","WR","DET",10,132,13.2,29,1,13.2,18,3,0,46,5
"Matt Asiata","RB","MIN",19,132,6.9,22,0,8.3,22,2,0,204,5
"Donteea Dye","WR","TB",11,132,12,44,1,13.2,30,1,1,31,8
"Cooper Helfet","TE","SEA",13,130,10,20,0,9.3,22,1,0,47,7
"Tyler Kroft","TE","CIN",11,129,11.7,22,1,8.1,14,2,0,74,6
"Tim Hightower","RB","NO",12,129,10.8,27,0,16.1,13,2,0,101,7
"Keith Mumphery","WR","HOU",14,129,9.2,26,0,8.1,32,1,0,14,5
"Dion Sims","TE","MIA",18,127,7.1,22,1,9.8,25,1,1,73,7
"Charles Johnson","WR","MIN",9,127,14.1,35,0,11.5,13,3,0,27,5
"Brandon Myers","TE","TB",12,127,10.6,17,0,11.5,17,0,0,22,7
"Rhett Ellison","TE","MIN",11,124,11.3,41,1,8.3,18,2,0,129,5
"Craig Stevens","TE","TEN",12,121,10.1,27,2,7.6,15,3,0,41,5
"Ed Dickson","TE","CAR",17,121,7.1,17,2,7.6,26,0,0,55,10
"Cameron Meredith","WR","CHI",11,120,10.9,22,0,10.9,16,2,0,37,5
"Josh Hill","TE","NO",16,120,7.5,19,2,7.5,30,0,0,74,8
"Jason Avant","WR","KC",15,119,7.9,20,0,7.4,24,1,0,41,5
"Brenton Bersin","WR","CAR",9,119,13.2,30,0,13.2,11,1,1,25,5
"Darius Jennings","WR","CLE",14,117,8.4,16,0,29.3,21,0,1,27,7
"Khiry Robinson","RB","NO",17,115,6.8,22,0,14.4,20,1,0,152,4
"Devin Smith","WR","NYJ",9,115,12.8,22,1,11.5,28,1,0,23,5
"Devin Street","WR","DAL",7,114,16.3,25,1,7.6,13,1,1,11,6
"Branden Oliver","RB","SD",13,112,8.6,17,0,14,15,0,0,139,5
"Marlon Brown","WR","BAL",14,112,8,22,0,11.2,30,2,0,47,4
"Ronnie Hillman","RB","DEN",24,111,4.6,14,0,6.9,35,0,1,118,3
"Jared Abbrederis","WR","GB",9,111,12.3,32,0,11.1,16,1,1,18,5
"Patrick DiMarco","FB","ATL",13,110,8.5,19,2,6.9,17,0,0,45,9
"Dwayne Allen","TE","IND",16,109,6.8,21,1,8.4,29,1,0,60,4
"Chris Polk","RB","HOU",16,109,6.8,12,1,7.3,28,0,0,65,5
"Alfred Blue","RB","HOU",15,109,7.3,21,1,6.8,16,1,0,64,2
"Taiwan Jones","RB","OAK",7,106,15.1,59,1,8.8,9,1,0,114,4
"Justin Perillo","TE","GB",11,102,9.3,24,1,11.3,13,2,0,22,5
"Wes Welker","WR","DEN/LA",13,102,7.8,14,0,12.8,22,0,0,29,5
"Brian Quick","WR","LA",10,102,10.2,37,0,7.8,32,1,0,38,5
"Ryan Hewitt","TE","CIN",8,99,12.4,22,0,6.6,12,2,0,61,3
"Jonathan Stewart","RB","CAR",16,99,6.2,15,1,7.6,21,0,0,117,5
"DuJuan Harris","RB","SF/SEA",9,97,10.8,31,0,48.5,14,2,0,11,5
"Chris Matthews","WR","SEA/BAL",9,97,10.8,21,1,24.3,16,2,0,8,6
"Karlos Williams","RB","BUF",11,96,8.7,26,2,8.7,14,3,1,41,3
"Zach Line","FB","MIN",6,95,15.8,49,1,5.9,9,2,0,82,4
"Rex Burkhead","RB","CIN",10,94,9.4,27,1,5.9,15,2,0,33,4
"Rashad Greene","WR","JAX",19,93,4.9,18,2,10.3,35,0,0,54,8
"Jay Ajayi","RB","MIA",7,90,12.9,20,0,10,11,1,0,84,5
"Tyrell Williams","WR","SD",2,90,45,80,1,12.9,6,1,0,0,1
"MyCole Pruitt","TE","MIN",10,89,8.9,32,0,5.6,16,1,0,48,3
"Tre Mason","RB","LA",18,88,4.9,16,0,6.8,21,0,0,119,4
"Bradley Marquez","WR","LA",13,88,6.8,14,0,5.5,22,0,0,22,3
"Myles White","WR","NYG",7,88,12.6,28,1,7.3,20,2,0,10,4
"Donald Brown","RB","SD",8,88,11,31,0,8.8,13,2,1,86,2
"Jeremy Ross","WR","OAK/BAL",9,88,9.8,18,0,17.6,14,0,0,71,4
"James O'Shaughnessy","TE","KC",6,87,14.5,30,0,12.4,9,2,0,59,4
"Joseph Randle","RB","DAL",10,86,8.6,25,0,14.3,10,1,0,81,6
"Jamize Olawale","FB","OAK",9,84,9.3,15,0,6,11,0,0,52,5
"Pierre Thomas","RB","NO/SF/WSH",9,84,9.3,15,0,21,11,0,0,64,4
"Deonte Thompson","WR","CHI",2,81,40.5,45,0,11.6,3,2,0,2,2
"Marlon Moore","WR","CLE",7,81,11.6,20,1,5.8,10,1,0,32,6
"Chris Owusu","WR","NYJ",6,80,13.3,43,0,26.7,13,2,0,23,2
"Marshawn Lynch","RB","SEA",13,80,6.2,19,0,11.4,22,0,0,88,5
"Jeremy Hill","RB","CIN",15,79,5.3,14,1,4.9,19,0,0,67,5
"James Hanna","TE","DAL",9,79,8.8,17,0,5.6,14,0,0,50,4
"Jeff Janis","WR","GB",2,79,39.5,46,0,4.9,11,2,0,29,2
"Timothy Wright","TE","DET",9,77,8.6,26,2,8.6,16,1,0,27,6
"Jeff Cumberland","TE","NYJ",5,77,15.4,44,0,5.1,13,1,0,52,3
"Corey Fuller","WR","DET",4,76,19,48,0,6.3,9,1,0,12,3
"Michael Hoomanawanui","TE","NE/NO",11,76,6.9,19,3,6.3,16,0,1,26,4
"Thomas Rawls","RB","SEA",9,76,8.4,31,1,5.8,11,1,0,76,2
"Roy Helu Jr.","RB","OAK",9,75,8.3,15,1,8.3,16,0,0,64,6
"Demetrius Harris","TE","KC",7,74,10.6,25,1,4.6,12,1,0,21,2
"Terron Ward","RB","ATL",9,73,8.1,18,0,5.6,13,0,0,60,0
"Andre Caldwell","WR","DEN",10,72,7.2,24,2,5.1,22,1,0,17,4
"Jack Doyle","TE","IND",12,72,6,19,1,4.5,14,0,0,55,6
"Jonas Gray","RB","MIA/JAX",6,72,12,25,0,12,7,1,0,60,2
"Lee Smith","TE","OAK",12,70,5.8,17,1,4.7,13,0,0,64,4
"John Phillips","TE","SD",10,69,6.9,15,1,4.3,11,0,0,25,6
"Kendall Gaskins","RB","SF",8,69,8.6,16,0,7.7,10,0,0,56,3
"Ricardo Lockette","WR","SEA",4,69,17.3,40,1,8.6,7,2,0,14,2
"Brandon Pettigrew","TE","DET",7,67,9.6,21,1,8.4,15,1,0,39,4
"Travaris Cadet","RB","NE/NO/SF",7,66,9.4,16,0,16.5,11,0,0,69,3
"Zac Stacy","RB","NYJ",9,65,7.2,16,0,8.1,12,0,0,81,4
"Gavin Escobar","TE","DAL",8,64,8,22,1,4.6,13,1,1,34,5
"Ahmad Bradshaw","RB","IND",10,64,6.4,10,3,10.7,13,0,0,55,5
"Fozzy Whittaker","RB","CAR",12,64,5.3,15,0,4.3,15,0,0,110,2
"Daniel Brown","TE","BAL",6,64,10.7,31,0,10.7,11,1,0,27,4
"Jim Dray","TE","CLE",6,61,10.2,18,0,3.8,16,0,0,34,3
"Luke Stocker","TE","TB",9,61,6.8,14,1,4.4,13,0,0,35,3
"Daniel Fells","TE","NYG",6,60,10,23,0,30,7,1,0,34,4
"Brandon Tate","WR","CIN",2,59,29.5,55,1,3.7,3,1,0,12,1
"Cody Latimer","WR","DEN",6,59,9.8,15,1,4.2,11,0,0,32,4
"Jerome Cunningham","TE","NYG",8,59,7.4,16,0,6.6,16,0,0,31,4
"Tony Moeaki","TE","ATL",3,58,19.3,42,1,5.3,5,1,0,7,3
"Marcus Easley","WR","BUF",1,58,58,58,1,4.5,3,1,0,16,1
"Chris Johnson","RB","ARI",6,58,9.7,40,0,5.3,13,1,0,67,1
"Cameron Artis-Payne","RB","CAR",5,58,11.6,20,0,8.3,5,1,0,43,4
"Zurlon Tipton","RB","IND",5,57,11.4,27,0,5.7,8,1,0,42,2
"John Kuhn","FB","GB",6,56,9.3,19,0,3.5,10,0,0,48,3
"Tommy Bohanon","FB","NYJ",4,56,14,23,0,3.5,8,1,0,40,3
"Jesse James","TE","PIT",8,56,7,20,1,7,11,1,0,24,2
"Alfred Morris","RB","WSH",10,55,5.5,12,0,3.4,13,0,0,38,2
"Hakeem Nicks","WR","NYG",7,54,7.7,19,0,9,14,0,0,5,2
"Trey Burton","TE","PHI",3,54,18,43,0,3.4,4,1,0,31,1
"Jerome Simpson","WR","SF",5,54,10.8,16,1,10.8,19,0,0,16,4
"Chris Matthews","WR","SEA/BAL",4,54,13.5,21,0,6,8,1,0,15,3
"Dwayne Bowe","WR","CLE",5,53,10.6,16,0,7.6,13,0,0,13,3
"Carlos Hyde","RB","SF",11,53,4.8,11,0,7.6,15,0,0,64,4
"Juwan Thompson","RB","DEN",6,51,8.5,16,0,3.4,9,0,0,69,1
"Jake Stoneburner","TE","MIA",5,47,9.4,13,2,4.3,5,0,0,14,3
"Levine Toilolo","TE","ATL",7,44,6.3,11,0,2.8,12,0,0,17,3
"Boobie Dixon","RB","BUF",6,44,7.3,14,0,2.8,7,0,0,29,1
"Jalston Fowler","FB","TEN",5,44,8.8,19,1,2.8,6,0,0,42,3
"LeGarrette Blount","RB","NE",6,43,7.2,14,1,3.6,7,0,0,32,3
"Preston Parker","WR","NYG",5,43,8.6,15,0,21.5,12,0,0,30,1
"Kevin Smith","WR","SEA",3,43,14.3,21,0,6.1,5,1,0,13,2
"Terrelle Pryor","WR","CLE",1,42,42,42,0,14,8,1,0,0,1
"Chase Coffman","TE","TEN/SEA",4,42,10.5,16,0,42,5,0,0,6,2
"Greg Salas","WR","BUF/DET",3,41,13.7,20,0,20.5,5,1,0,0,3
"Marcus Mariota","QB","TEN",1,41,41,41,1,3.4,1,1,0,15,1
"Paul Richardson","WR","SEA",1,40,40,40,0,40,1,1,0,13,1
"Michael Burton","FB","DET",6,39,6.5,12,1,2.4,6,0,0,25,3
"Akeem Hunt","RB","BAL/HOU",6,39,6.5,27,0,5.6,10,1,0,21,2
"Mike Davis","RB","SF",7,38,5.4,11,0,6.3,12,0,0,28,1
"Nick O'Leary","TE","BUF",1,37,37,37,0,9.3,3,1,0,37,1
"Tom Brady","QB","NE",1,36,36,36,0,2.3,1,1,0,30,1
"Michael Campanaro","WR","BAL",5,35,7,11,0,8.8,6,0,0,27,1
"Anthony Sherman","RB","KC",4,34,8.5,18,0,2.1,5,0,0,12,1
"Josh Robinson","RB","IND",6,33,5.5,9,0,6.6,6,0,0,38,2
"Troy Niklas","TE","ARI",4,33,8.3,13,2,2.1,4,0,0,1,3
"Phillip Supernaw","TE","TEN",3,32,10.7,16,0,2,4,0,1,14,1
"Jake Fisher","OT","CIN",1,31,31,31,0,2.2,5,1,0,21,1
"Andrew Quarless","TE","GB",4,31,7.8,13,0,6.2,5,0,0,10,1
"Orleans Darkwa","RB","NYG",3,31,10.3,15,0,1.9,5,0,0,29,2
"Austin Johnson","FB","NO",5,30,6,12,0,3,8,0,0,22,3
"Garrett Graham","TE","HOU",4,30,7.5,9,1,3.8,19,0,0,9,1
"Mike Gillislee","RB","BUF/ARI",6,29,4.8,14,0,5.8,7,0,0,35,2
"Chase Coffman","TE","TEN/SEA",4,29,7.3,8,1,29,5,0,0,0,3
"Lorenzo Taliaferro","RB","BAL",5,29,5.8,11,0,9.7,5,0,0,27,0
"Russell Shepard","WR","TB",3,28,9.3,18,1,2.2,10,0,0,1,3
"Rob Housler","TE","CHI/CLE",3,27,9,12,0,6.8,3,0,0,5,2
"Daniel Herron","RB","BUF/IND",6,27,4.5,7,0,4.5,7,0,0,24,1
"Jarryd Hayne","RB","SF",6,27,4.5,7,0,3.4,7,0,0,23,2
"Cory Harkey","TE","LA",5,26,5.2,12,0,1.6,6,0,0,14,2
"Michael Williams","TE","NE",3,26,8.7,15,0,1.7,6,0,0,13,1
"Andrew Turzilli","WR","TEN/SF",2,25,12.5,18,0,8.3,2,0,0,8,1
"Marquise Goodwin","WR","BUF",2,24,12,14,0,12,2,0,0,-1,2
"Knile Davis","RB","KC",2,24,12,12,0,1.7,3,0,0,24,1
"T.J. Graham","WR","NO",4,24,6,18,0,6,4,0,0,41,1
"Toby Gerhart","RB","JAX",3,23,7.7,8,0,3.3,5,0,0,24,1
"Matt LaCosse","TE","NYG",3,22,7.3,10,0,11,3,0,0,7,2
"Kenjon Barner","RB","PHI",9,22,2.4,12,0,2.2,12,0,0,14,1
"Vincent Brown","WR","IND/SD",1,22,22,22,0,22,2,1,0,3,1
"Darrel Young","FB","WSH",6,22,3.7,8,0,1.4,6,0,0,16,0
"Geremy Davis","WR","NYG",2,21,10.5,16,0,2.1,3,0,0,7,1
"Terrance West","RB","TEN/BAL",4,21,5.3,8,0,3.5,5,0,0,18,0
"Daniel Herron","RB","BUF/IND",3,20,6.7,9,0,5,3,0,0,11,0
"Cody Davis","DB","LA",1,20,20,20,0,1.3,2,1,0,2,1
"Steven Jackson","RB","ATL/NE",1,20,20,20,0,10,1,1,0,0,1
"Ka'Deem Carey","RB","CHI",3,19,6.3,11,1,1.7,3,0,0,9,2
"Reggie Bush","RB","SF",4,19,4.8,8,0,3.8,10,0,0,25,1
"Tyson Alualu","DE","JAX",2,19,9.5,16,0,1.2,3,0,0,7,2
"Aaron Ripkowski","FB","GB",1,18,18,18,0,1.2,1,0,0,14,1
"Tyler Varga","RB","IND",1,18,18,18,0,6,2,0,0,19,1
"Kellen Davis","TE","NYJ",3,18,6,9,1,1.1,11,0,0,11,2
"DeAndrew White","WR","SF",2,18,9,10,0,4.5,2,0,0,5,2
"B.J. Daniels","WR","SEA/HOU",2,18,9,12,0,3,2,0,0,7,0
"Darren Waller","TE","BAL",2,18,9,17,0,3,6,0,0,13,1
"Lucky Whitehead","WR","DAL",6,16,2.7,8,0,1.1,8,0,0,18,1
"Kerwynn Williams","RB","ARI",2,16,8,12,0,2.7,2,0,0,7,1
"Will Johnson","FB","PIT",2,16,8,11,0,1,4,0,0,5,1
"Roosevelt Nix","FB","PIT",2,16,8,10,0,1.1,2,0,0,11,1
"Tyler Murphy","WR","PIT",1,16,16,16,0,8,1,0,0,0,1
"Bobby Rainey","RB","TB",3,16,5.3,8,0,1,3,0,0,24,1
"Mario Alford","WR","CIN",1,15,15,15,0,15,1,0,0,5,1
"Malcolm Johnson","FB","CLE",4,15,3.8,8,0,1.3,5,0,0,19,0
"Robert Turbin","RB","CLE/DAL/SEA",5,15,3,15,0,2.1,7,0,0,13,0
"Tevin Coleman","RB","ATL",2,14,7,10,0,1.2,11,0,0,12,0
"Christine Michael","RB","DAL/SEA",2,14,7,11,0,4.7,3,0,0,17,1
"Chandler Worthy","WR","HOU",3,14,4.7,12,0,4.7,4,0,0,24,1
"Jorvorskie Lane","FB","TB",2,13,6.5,8,0,0.8,2,0,0,12,0
"Corey Grant","RB","JAX",2,13,6.5,8,0,2.2,3,0,0,17,0
"Jerome Felton","FB","BUF",1,12,12,12,0,0.8,2,0,0,8,0
"Eric Weems","WR","ATL",1,11,11,11,0,0.7,1,0,0,5,1
"Zach Zenner","RB","DET",2,11,5.5,7,0,1.8,3,0,0,13,0
"Jonathan Krause","WR","NE/PHI",2,11,5.5,7,0,5.5,4,0,0,5,0
"Sammie Coates","WR","PIT",1,11,11,11,0,1.8,2,0,0,4,1
"Jacquizz Rodgers","RB","CHI",1,10,10,10,0,2,3,0,0,15,0
"Cordarrelle Patterson","WR","MIN",2,10,5,9,0,0.6,2,0,0,3,1
"Mike Iupati","G","ARI",1,10,10,10,0,0.8,1,0,0,8,1
"Matt Spaeth","TE","PIT",2,10,5,6,0,0.8,3,0,0,8,1
"Scott Simonson","TE","CAR",1,10,10,10,0,1.1,1,0,0,9,1
"Ryan Tannehill","QB","MIA",1,9,9,9,0,0.6,1,0,0,9,0
"Ben Edwards","WR","NYG",1,9,9,9,0,4.5,2,0,0,7,0
"Robert Turbin","RB","CLE/DAL/SEA",2,8,4,7,0,2.7,3,0,0,8,0
"Tre McBride","WR","TEN",2,8,4,7,1,1.1,4,0,0,0,1
"Rod Streater","WR","OAK",1,8,8,8,0,8,1,0,0,0,1
"Kasen Williams","WR","SEA",1,8,8,8,0,4,1,0,0,0,1
"Khari Lee","TE","CHI",1,7,7,7,0,0.4,3,0,0,4,0
"E.J. Bibbs","TE","CLE",1,7,7,7,0,1,2,0,0,1,0
"Chris Givens","WR","LA/BAL",1,7,7,7,0,2.3,1,0,0,2,0
"Andre Williams","RB","NYG",1,7,7,7,0,0.4,3,0,0,3,0
"Will Tukuafu","FB","SEA",1,7,7,7,1,0.5,1,0,0,0,1
"Bernard Pierce","RB","JAX",3,7,2.3,6,0,1,5,0,0,2,0
"Kendall Lamm","OT","HOU",1,7,7,7,0,0.5,1,0,0,5,1
"Rob Housler","TE","CHI/CLE",1,6,6,6,0,1,4,0,0,1,1
"Rod Smith","FB","DAL/SEA",1,6,6,6,0,0.6,2,0,0,5,1
"Brian Parker","TE","KC",1,6,6,6,0,0.7,2,0,0,8,0
"Chris Harper","WR","NE",1,6,6,6,0,1.2,3,0,0,0,0
"Nic Jacobs","TE","JAX",1,6,6,6,0,0.5,2,0,0,5,0
"Spencer Ware","RB","KC",6,5,0.8,5,0,0.5,6,0,0,15,0
"Brittan Golden","WR","ARI",1,5,5,5,0,0.4,1,0,0,0,1
"Tyrod Taylor","QB","BUF",1,4,4,4,0,0.3,1,0,0,1,0
"C.J. Uzomah","TE","CIN",1,4,4,4,0,0.8,1,0,0,1,1
"Tyler Clutts","FB","DAL",1,4,4,4,0,0.3,1,0,0,5,0
"Seyi Ajirotutu","WR","PHI",1,4,4,4,0,0.3,3,0,0,0,0
"Stepfan Taylor","RB","ARI",1,4,4,4,0,0.3,3,0,0,0,0
"David Johnson","TE","SD",1,4,4,4,0,0.3,3,0,1,4,0
"Brian Leonhardt","TE","CIN/CLE/SF",1,4,4,4,0,1,1,0,0,1,0
"Jonas Gray","RB","MIA/JAX",1,4,4,4,0,2,1,0,0,0,0
"Donald Penn","OT","OAK",1,3,3,3,0,0.2,1,0,0,11,0
"Matthew Mulligan","TE","BUF",1,2,2,2,0,0.2,1,0,0,2,0
"MarQueis Gray","TE","BUF",1,2,2,2,0,0.5,1,0,0,5,0
"Christine Michael","RB","DAL/SEA",1,2,2,2,0,0.4,2,0,0,1,0
"Travaris Cadet","RB","NE/NO/SF",1,2,2,2,0,2,1,0,0,2,0
"Terrence Magee","RB","BAL",1,2,2,2,0,0.5,1,0,0,0,0
"Shaun Draughn","RB","CLE/SF",2,1,0.5,2,0,0.2,3,0,0,1,0
"Asante Cleveland","TE","NE/SD",1,1,1,1,0,0.3,1,0,0,1,0
"Geoff Swaim","TE","DAL",1,0,0,0,0,0,1,0,0,0,0
"Derrick Coleman","FB","SEA",1,0,0,0,0,0,1,0,0,0,0
"David Cobb","RB","TEN",1,-2,-2,-2,0,-0.3,2,0,0,3,0
"Malcolm Brown","RB","LA",1,-2,-2,-2,0,-2,1,0,0,0,0
"Stevan Ridley","RB","NYJ",4,-2,-0.5,3,0,-0.3,5,0,0,5,0
"Wesley Johnson","G","NYJ",1,-5,-5,-5,0,-0.5,1,0,0,3,0
"Cierre Wood","RB","BUF",1,-6,-6,-6,0,-3,1,0,0,0,0
"Matthew Stafford","QB","DET",1,-6,-6,-6,0,-0.4,1,0,0,1,0
"Ereck Flowers","OT","NYG",1,-11,-11,-11,0,-0.7,1,0,0,-3,0
